Iteration,Index,PF Angle (rad),KF Angle (rad),Unfiltered Angle (rad)
113,7,0.4466857843718173,0.1518819991510686,0.1669198208491942
113,17,-0.04159906169183142,-0.08210193271336129,-0.09023083694240697
113,24,0.07874915604584155,0.2670109168237393,0.2934476412617333
113,32,0.6845391952330755,0.46770627432505785,0.51401382623843
113,40,0.5323407925556305,0.5037381621560452,0.5536132277160497
113,9,0.008668303180995074,0.026196505166075787,0.02879021854885557
113,15,0.15086866436180624,0.05107831332370973,0.05613557206863149
113,30,-0.07726145386390375,0.10641015506457027,0.11694581398185447
113,38,0.022278059571186927,0.12642732239432536,0.13894487906703085
113,11,0.0444168462777157,0.020496231457239247,0.022525561304490658
113,13,0.0013858589468805872,0.07110973715181751,0.07815030518665093
113,19,0.3289916474542395,0.240912338441934,0.26476504521836314
113,21,0.06265637382783734,0.24129894267894123,0.2651899271025988
113,26,0.14546360351625154,0.2740391113307225,0.3011716966109921
113,28,0.12208557405410213,0.13499986246714113,0.14836618548368977
113,34,0.5163789189577944,0.32012942901093855,0.35182541208132856
113,37,0.10785919622777537,0.1527989897099896,0.16792760255256284
113,42,0.06954392324652084,0.42238219893295104,0.46420221862928285
113,44,0.2750582742099785,0.14146103620396666,0.15546707939247822
114,7,0.4392750138284562,0.13185817057758303,0.14491343499120513
114,17,0.14481635658523245,0.23134120672713773,0.2542462767001217
114,24,0.2930615987684362,0.6015977543042699,0.6611618883938016
114,32,0.43314661761848045,0.5926822557274721,0.6513636671856378
114,40,0.817554027954347,0.7389813267562446,0.8121477947519125
114,9,0.33025617190844164,0.1882840808230561,0.2069260690233587
114,15,0.007746936382314931,0.03480473997182552,0.038250753830422105
114,30,0.23982067556655806,0.13376577042124763,0.14700990610651968
114,38,0.21505350688246216,0.15024729535326944,0.16512326519022683
114,11,-0.0012661639428052807,0.17832005457556707,0.19597550552364304
114,13,0.10383126541506194,0.10262850478751,0.11278974288528328
114,19,-0.06598231556011062,0.043868012892599284,0.04821138050572793
114,21,0.026000269388885004,0.13459342769403568,0.1479195096439402
114,26,0.14461118940043266,0.03524944857781525,0.038739492991460324
114,28,-0.2936246285298399,0.15799038942775778,0.17363300224238729
114,34,0.10352577136520605,0.13782741878784108,0.15147369787574613
114,37,-0.05219930412966644,0.12326217511221713,0.135466350865902
114,42,1.6391702347573764,1.7882575169781396,1.9653127166789457
114,44,-0.11341316955905274,0.18528847923826705,0.2036338732222539
115,7,0.4113310467871111,0.3462533123873285,0.38053581856429175
115,17,0.1957020096415556,0.20954880475067295,0.23029621116163068
115,24,0.14513834036171977,0.20656383089339903,0.22701569533829002
115,32,0.06987249395076466,0.21293080175262352,0.2340130593518932
115,40,0.374399023072689,0.2648366247293,0.2910580727223
115,9,0.318437086480796,0.30188948517922604,0.3317795332167732
115,15,-0.06612742488873166,0.033300772195268245,0.036597878353215596
115,30,0.267036466816333,0.3386077520251828,0.37213327202767615
115,38,0.584164540656877,0.49455712932286916,0.5435231817310741
115,11,-0.044271062085090455,0.19412379585377762,0.21334397366108235
115,13,0.4143479802102281,0.1426101815514478,0.1567300015070367
115,19,0.22311207413090994,0.19701045065476022,0.21651643586810285
115,21,0.13705855949609294,0.12065220493553519,0.13259796780043967
115,26,0.10883651697737477,0.1206928719307399,0.13264266123081317
115,28,0.04345726064652194,0.1604112220792781,0.17629352129504822
115,34,-0.00902889729238792,0.1355354797231467,0.14895483415118102
115,37,0.1181344168671537,0.09743053939641128,0.10707712745546191
115,42,0.030750914601665135,0.0890215386193936,0.09783555234408604
115,44,0.2231149928447845,0.1016948676330159,0.11176366640856203
116,7,0.2179251771361105,0.35744118281503584,0.3928313989353365
116,17,0.012528799222122472,0.1335981630776697,0.1468257039764489
116,24,0.0653006397863345,0.04032325587675557,0.044315657448711576
116,32,0.2424157321709556,0.04853321119588278,0.05333847963111871
116,40,0.19368961809022722,0.10264429847839387,0.11280710030793784
116,9,0.06483634939372668,0.369422237217949,0.405998696348439
116,15,0.035092667041030916,0.09745602765266956,0.10710513930144873
116,30,0.29845013462454245,0.28703454849819,0.3154538107257336
116,38,0.3458990177796036,0.43748239719672055,0.48079748602807904
116,11,0.47270343743098553,0.12392994913738045,0.1362002411311805
116,13,0.023610143152284217,0.1580133080317867,0.17365819001513194
116,19,0.1388110520511885,0.2447994529939312,0.26903702259729073
116,21,0.14712780698523725,0.1326776051450311,0.1458140016940441
116,26,-0.08176766461557666,0.16371910057280847,0.17992891251071033
116,28,0.12438844653457004,0.11604588551978001,0.1275355771554018
116,34,-0.0228626585816565,0.12934505641008026,0.14215149763880108
116,37,0.5268527541907645,0.18989465674971612,0.20869610791305437
116,42,0.004764028467190164,0.09023096475188556,0.09916472363821087
116,44,0.05510155073655011,0.22875054404124298,0.25139911275819776
117,7,0.47926627678303096,0.3433628810108324,0.3773592058633901
117,17,0.16740875392647817,0.01948871395708359,0.0214182895963988
117,24,0.02469764436343398,0.11717750338873338,0.12877923639751887
117,32,0.06953201131059339,-0.01855712818945249,-0.020394467614150757
117,40,-0.06858542659849123,0.12699324077093974,0.1395668289660823
117,9,0.4031035501454276,0.39861283275672377,0.43807944986134995
117,15,0.18624365486476532,0.10729432665030243,0.11791752730874823
117,30,0.3202297276798091,0.27088813925470506,0.2977087471017056
117,38,0.5113771505050805,0.4545422644868753,0.49954644908953627
117,11,0.30863700064103744,0.16841064329800465,0.18508496441661898
117,13,0.08492641664509923,0.127746744632384,0.14039493717024382
117,19,0.3944345828433757,0.31414969066084036,0.3452536204292404
117,21,0.0368848687751793,0.06572551974550946,0.07223299694803514
117,26,0.2447574589726972,0.056710257165678866,0.062325134112775786
117,28,0.15980564788993853,0.11366379421426742,0.12491763522558104
117,34,0.22034397005573667,0.21313261129927422,0.23423485004177663
117,37,0.005530307173429319,0.042401501046868406,0.04659966946735043
117,42,0.16707835491457587,0.16433107130335128,0.180601474402693
117,44,-0.03893109043035951,0.2016011214069044,0.22156162847689495
118,7,0.5685117364459045,0.33990139609962833,0.373554999673849
118,17,0.06735984014551914,0.15175249900983648,0.1667774989118005
118,24,0.04553294892046106,0.11745976191347034,0.12908944131084366
118,32,-0.014618598544169444,-0.0059914885833848965,-0.006584705274809144
118,40,0.02924459555352863,-0.058278464910207765,-0.0640486099508224
118,9,0.19499377359659448,0.3354257697817852,0.3686362420374075
118,15,-0.03919182543919865,0.0344511070428178,0.037862107740126494
118,30,0.23498748754648563,0.29051920377481905,0.3192834813762863
118,38,0.31073220773667226,0.553599034038799,0.6084108195871949
118,11,0.20923344313206127,0.12039577777781688,0.1323161518152245
118,13,0.11424304091230134,0.19840235884392335,0.2180461567492623
118,19,0.05029690064956147,0.1626554781532317,0.1787599809406804
118,21,-0.21595126425884456,0.006090334972581321,0.0066933384352131356
118,26,0.31068869660055154,0.1239280111903246,0.13619811130817852
118,28,-0.052198583494389536,0.07024218353648147,0.07719685517375686
118,34,0.04527725696477839,0.19508914101946417,0.2144048975560448
