Iteration,MSE
0,0.0873264185580972
1,0.013698852181702876
2,0.01614942231211849
3,0.018443761570013106
4,0.0137530290625401
5,0.02393325838768167
6,0.016155622486156183
7,0.01964773212092438
8,0.023865231145655703
9,0.012125803009905897
10,0.014314223996624867
11,0.009054432331754852
12,0.00829246694554243
13,0.01776485056025124
14,0.010211888792636363
15,0.016743874403421222
16,0.01059154003249109
17,0.006691660443544752
18,0.003513803684756693
19,0.008160871244080312
20,0.009644222728990768
21,0.00888859467457094
22,0.010102802180171505
23,0.014244212039594122
24,0.02635617260175671
25,0.04227924984019851
26,0.047846667482018004
27,0.046131454157140886
28,0.04606203077764309
29,0.05334612112647816
30,0.04697611967560103
31,0.05554674170759983
32,0.0491588199488291
33,0.04152229590467671
34,0.044184500443774484
35,0.04567641982124348
36,0.04840562901730836
37,0.04427524008147582
38,0.040780253852405225
39,0.030265000081418407
40,0.03399777729504778
41,0.03199194656636953
42,0.04019110881388679
43,0.02899251548490682
44,0.03673859908974886
45,0.04040163069384053
46,0.031531996245413335
47,0.02406921173081815
48,0.03685007529100623
49,0.03488386212596017
50,0.03032074252449942
51,0.030836433467097003
52,0.033081943369061693
53,0.031893521204937596
54,0.037362795137205515
55,0.027639857757479687
56,0.040248158433787574
57,0.02579825932374463
58,0.030090553860283763
59,0.03195317244082686
60,0.019311209417067977
61,0.025361396731086044
62,0.019207320058500392
63,0.018596756823818256
64,0.03535242536107659
65,0.06160938333971345
66,0.050943203237666934
67,0.047519676516495864
68,0.06145024417873435
69,0.05940621300245824
70,0.06763149904365896
71,0.06858036848492849
72,0.058097064154596895
73,0.07294381287781504
74,0.06525904202648966
75,0.06623489306878269
76,0.06558346543131512
77,0.0638056098346227
78,0.07622575613938436
79,0.07285360852099357
80,0.06760004339773096
81,0.06862894058833667
82,0.06273049583963222
83,0.0602680152320788
84,0.06616964635147433
85,0.059225015413087286
86,0.04969721292900359
87,0.05606266317656374
88,0.05166780826276632
89,0.05935399856986475
90,0.05059027223000418
91,0.04977692468603751
92,0.051347338496407484
93,0.04499928891084339
94,0.04554710942755379
95,0.058298049417180905
96,0.060733214065215
97,0.060239881590351284
98,0.06506226795342122
99,0.05519377112059095
100,0.047302908216091254
101,0.016340103927427803
102,0.012207465227905745
103,0.010779419889074417
104,0.013414413824061708
105,0.017169091053543976
106,0.013115895387646908
107,0.012680736711714026
108,0.015266189160734897
109,0.009925135526411078
110,0.008580493223719097
111,0.008466535343982161
112,0.008345285530885694
113,0.008748023852427412
114,0.008491297854568541
115,0.008586335356704984
116,0.008312199350647172
117,0.008724269566550244
118,0.008657820387593638
119,0.008364220057611891
120,0.008134539816960778
121,0.008456875127962981
122,0.007726582468200669
123,0.008387346622858958
124,0.008416644289802459
125,0.008194996737838836
126,0.008211299809420753
127,0.00885959606857047
128,0.008911555476397182
129,0.0080225305148786
130,0.008093989211841743
131,0.008838062123711982
132,0.008634513936904918
133,0.00815946340870125
134,0.007893280300394455
135,0.008262903967600871
136,0.007707843555860265
137,0.0076695494289135855
138,0.007733142410825517
139,0.007774361000263009
140,0.008109922130117403
141,0.008213564761255596
142,0.007686770724793508
143,0.007865202851746269
144,0.008258793521642452
145,0.008434056057448245
146,0.00912986746464561
147,0.008204935327371383
148,0.018332971394054813
149,0.021103734846560602
150,0.01952082328278697
151,0.024558202804771008
152,0.019812081732148296
153,0.030041344232868042
154,0.03454590418949539
155,0.05569063829660982
156,0.051727925220924086
157,0.07033939914100594
158,0.060320651133914105
159,0.05166988002470689
160,0.06469911785045823
161,0.06256265107219242
162,0.06139744843850135
163,0.060872471764263504
164,0.06255506946766069
165,0.06107763169185159
166,0.058372752431765186
167,0.055000738685076545
168,0.059676634949792154
169,0.06545536271526585
170,0.054649824091323435
171,0.059577909741643474
172,0.052526025980462666
173,0.05971477659934445
174,0.046662218651131945
175,0.04865671462159946
176,0.05260998726421803
177,0.041000275298705806
178,0.03135629972912263
179,0.03863258173518778
180,0.04166535329908558
181,0.03842526941072521
182,0.04312752404749279
183,0.03906260496582287
184,0.038268837963487574
185,0.042285337259158194
186,0.04097661138955161
187,0.03811094813772029
188,0.03841821747807049
189,0.03333483530365505
190,0.03884450707994066
191,0.029213992194708507
192,0.033891427545208776
193,0.04109557532589249
194,0.03323738862003818
195,0.020875266961074942
196,0.012046743255103576
197,0.0048516333611801936
198,0.010243291027909392
199,0.010428706425370058
200,0.012596724224027411
201,0.01763951149562899
202,0.01663054713956451
203,0.024477265026775247
204,0.020547358705049496
205,0.01516372691681671
206,0.01462201095985878
207,0.015306090472672288
208,0.016349743282970123
209,0.019731644445317765
210,0.018850926537335454
211,0.024119851927127824
212,0.020828136369417282
213,0.020604888288916552
214,0.020512317304795774
215,0.020626990085937217
216,0.01735702625563932
217,0.017836589931283387
218,0.017398870863158923
219,0.022937833656898776
220,0.017045007842075213
221,0.0165910984753502
222,0.018893644039636403
223,0.018676370173680627
224,0.0173654710833522
225,0.018704787369925886
226,0.018977153159491025
227,0.019093138360183788
228,0.015877907955519934
229,0.02088618472181391
230,0.02807127154432306
231,0.01085419770533305
232,0.017306924927173555
233,0.014634313268376596
234,0.005856557134802383
235,0.009195328611226074
236,0.009628100434506306
237,0.010095113658038697
238,0.00800132790489766
239,0.03109764791805093
240,0.023219923252108803
241,0.020647941892258673
242,0.017881705510099998
243,0.012409502772422415
244,0.015274691697098474
245,0.03080863972805138
